CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard,IsActiveMember
0.7916219119226637,0.8863636363636362,0.7000000000000001,0.0,0.0,0.7973936510936793,1.0,0.0,0.0,1.0,1,0
0.7615467239527389,0.3181818181818182,0.30000000000000004,0.4284127493901108,0.0,0.319879498492106,0.0,1.0,0.0,1.0,1,0
0.7959183673469388,0.4318181818181818,0.0,0.47764753328571335,0.3333333333333333,0.5869794065333239,0.0,1.0,0.0,0.0,1,1
0.37916219119226646,0.4318181818181818,0.5,0.0,0.3333333333333333,0.41544802528641483,1.0,0.0,0.0,1.0,1,0
0.660580021482277,0.7045454545454546,0.6000000000000001,0.4637004967876679,0.3333333333333333,0.5373583677241176,0.0,1.0,0.0,1.0,0,1
0.5896885069817401,0.45454545454545453,0.9,0.0,0.3333333333333333,0.6640514169103149,1.0,0.0,0.0,0.0,1,1
0.853920515574651,0.3636363636363636,0.9,0.0,0.0,0.915134795372958,1.0,0.0,0.0,1.0,1,0
0.346938775510204,0.1363636363636363,0.8,0.6557614835270766,0.0,0.6269070696251492,1.0,0.0,0.0,1.0,1,1
0.7980665950590762,0.5227272727272727,0.2,0.5220049653597696,0.3333333333333333,0.23543013357775666,0.0,1.0,0.0,1.0,0,1
0.6455424274973147,0.3636363636363636,0.6000000000000001,0.3492811453752033,0.0,0.04826310912692162,0.0,0.0,1.0,1.0,0,0
0.3147153598281418,0.7954545454545454,0.5,0.5354408594139728,0.0,0.7075169178656562,1.0,0.0,0.0,0.0,1,0
0.37701396348012883,0.29545454545454547,0.30000000000000004,0.48299995184312466,0.0,0.1989948540085578,1.0,0.0,0.0,0.0,1,0
0.748657357679914,0.29545454545454547,0.9,0.4290905532151091,0.0,0.5772055231274587,0.0,0.0,1.0,0.0,1,1
0.6219119226638024,0.20454545454545453,0.4,0.46801104050899295,0.0,0.11008351297548914,0.0,1.0,0.0,0.0,0,1
0.5574650912996777,0.4318181818181818,0.9,0.0,0.3333333333333333,0.4822024503340069,0.0,0.0,1.0,1.0,1,1
0.6670247046186895,0.3181818181818182,0.9,0.0,0.6666666666666667,0.1926294461121037,0.0,0.0,1.0,1.0,0,1
0.7851772287862513,0.5454545454545454,0.8,0.6369307190358422,0.3333333333333333,0.3434517996468663,0.0,1.0,0.0,1.0,1,0
0.7937701396348011,0.3863636363636364,0.6000000000000001,0.41355320722272587,0.3333333333333333,0.5305769701006445,0.0,1.0,0.0,1.0,0,1
0.7722878625134264,0.3636363636363636,0.30000000000000004,0.0,0.3333333333333333,0.13617685488964193,0.0,0.0,1.0,1.0,1,0
0.43716433941997845,0.09090909090909088,0.9,0.2818024145219658,0.0,0.817693939771248,0.0,0.0,1.0,0.0,1,1
0.6691729323308271,0.5909090909090908,0.8,0.6791033475068917,0.0,0.37779052899551907,1.0,0.0,0.0,1.0,0,0
0.8367346938775511,0.7727272727272727,0.2,0.23734850090331894,0.0,0.5663275842842991,1.0,0.0,0.0,0.0,1,0
0.686358754027927,0.29545454545454547,0.0,0.0,0.3333333333333333,0.9152211536201706,1.0,0.0,0.0,1.0,1,0
0.7271750805585391,0.6818181818181817,0.7000000000000001,0.0,0.3333333333333333,0.7534869580044893,1.0,0.0,0.0,1.0,1,1
0.3254564983888293,0.6363636363636362,0.1,0.2757417794787614,0.0,0.3054439198943499,1.0,0.0,0.0,1.0,1,0
